 1.45691192833384408623 0.00013037243206566839
польша 1.87464712903382269005 0.01593659751751348372
материал 0.34217025773585058035 0.00003061926243721258
википедии 0.04058528011507830241 0.00000726358480806771
свободной 0.34217025773585058035 0.00003061926243721258
энциклопедии 0.34217025773585058035 0.00006123852487442516
это 0.31845373111853458870 0.00034196373811386260
стабильная 2.07944154167983574766 0.00018607978001609270
версия 0.04058528011507830241 0.00001452716961613541
отпатрулированная 2.22604501587171155208 0.00019919865913840820
февраля 0.71613669878464414342 0.00038450292552195654
термина 1.58696505658204189970 0.00028402059178202096
значения 1.50692234890850529361 0.00053939054994487886
см 0.35020242943311497008 0.00031338025005200448
запросы 3.22457384598283836041 0.00028855246943918021
полония 5.17048399503815137024 0.00046268313154703816
польская 3.78418963391826101983 0.01219067801530714958
республика 1.43281437675478362515 0.00333361734189032430
перенаправляются 3.78418963391826101983 0.00033862994486964304
сюда 0.04058528011507830241 0.00000726358480806771
также 0.54551118175388080278 0.00117156763866605265
другие 1.34184259854905674203 0.00036022620095276685
терминов 3.09104245335831606667 0.00027660335153094551
польск 4.07187170637004225426 0.00728746614115443822
флаг 1.73649679055300554253 0.00046617363504778667
герб 2.03498977910900213928 0.00036420398731257312
гимн 2.22604501587171155208 0.00039839731827681640
марш 2.77258872223978114491 0.00049621274670958056
домбровского 5.17048399503815137024 0.00046268313154703816
расположение 3.37872452581009685701 0.00030234671371902436
польши 2.77258872223978114491 0.02481063733547902647
мно-зел 3.78418963391826101983 0.00033862994486964304
ный 2.53142666542289296316 0.00045305175220096519
европе 2.22604501587171155208 0.00159358927310726561
светло-зел 3.22457384598283836041 0.00057710493887836042
мно-серый 4.07187170637004225426 0.00036437330705772194
европейском 3.78418963391826101983 0.00033862994486964304
союзе 2.86789890204410635732 0.00025663524850506544
дата 0.45198512374305721551 0.00060669144126584854
независимости 1.99243016469020606252 0.00089146763520814591
ноября 0.75164338724155388416 0.00107617845153153125
года 0.39979937057248704502 0.00422159514340523200
рсфср 3.37872452581009685701 0.00030234671371902436
официальный 1.61513593354873807861 0.00028906235947180999
язык 0.51652364488062840753 0.00041599219721929803
польский 3.09104245335831606667 0.00719168713980458327
столица 1.91238745701666967847 0.00051339260591051533
варшава 5.17048399503815137024 0.00416414818392334303
крупнейшие 2.12596155731472880035 0.00019024264494986389
города 0.92198875298879279239 0.00049502751838324441
краков 5.17048399503815137024 0.00323878192082926704
лодзь 5.17048399503815137024 0.00092536626309407631
вроцлав 5.17048399503815137024 0.00138804939464111442
познань 5.17048399503815137024 0.00138804939464111442
гданьск 5.17048399503815137024 0.00231341565773519062
щецин 5.17048399503815137024 0.00046268313154703816
быдгощ 5.17048399503815137024 0.00092536626309407631
люблин 5.17048399503815137024 0.00185073252618815263
белосток 5.17048399503815137024 0.00092536626309407631
форма 2.22604501587171155208 0.00019919865913840820
правления 1.55956608239392746640 0.00069779243060130985
президентско-парламентская 4.47733681447820686117 0.00080131307641668136
президент 1.23865836231382608901 0.00077589338131514834
анджей 4.47733681447820686117 0.00120196961462502188
дуда 4.47733681447820686117 0.00080131307641668136
премьер-министр 1.38629436111989057245 0.00037215956003218534
матеуш 5.17048399503815137024 0.00092536626309407631
моравецкий 5.17048399503815137024 0.00092536626309407631
маршал 3.78418963391826101983 0.00101588983460892913
сената 3.09104245335831606667 0.00027660335153094551
томаш 5.17048399503815137024 0.00046268313154703816
гродзкий 5.17048399503815137024 0.00046268313154703816
сейма 4.07187170637004225426 0.00145749322823088777
эльжбета 5.17048399503815137024 0.00046268313154703816
витек 5.17048399503815137024 0.00046268313154703816
гос 2.53142666542289296316 0.00022652587610048260
религия 1.95160817016995102868 0.00069856220856195114
светское 2.68557734525015145977 0.00024032012038032678
государство 1.14513230430300261276 0.00122967227307704970
территория 1.95160817016995102868 0.00087320276070243898
км 1.87464712903382269005 0.00268405852926542881
водной 2.53142666542289296316 0.00022652587610048260
поверхности 2.46243379393594175042 0.00022035201735444670
население 1.67397643357167158484 0.00134816893978926557
оценка 2.17475172148416096007 0.00019460865516636789
чел 2.33727065098193564907 0.00167321388884612843
-е 1.64412347042199047387 0.00102987599936947951
перепись 2.68557734525015145977 0.00024032012038032678
тыс 1.45691192833384408623 0.00091260702445967860
плотность 2.46243379393594175042 0.00066105605206334000
ввп 2.17475172148416096007 0.00116765193099820715
ппс 2.53142666542289296316 0.00113262938050241301
итого 2.46243379393594175042 0.00044070403470889341
трлн 2.77258872223978114491 0.00024810637335479028
долл 2.33727065098193564907 0.00104575868052883027
-й 0.95097628986204518764 0.00068078839542696752
душу 2.39789527279837066942 0.00085830703276899183
населения 1.18149994847387729280 0.00338326607169253451
номинал 2.53142666542289296316 0.00022652587610048260
млрд 1.95160817016995102868 0.00052392165642146330
ичр 2.46243379393594175042 0.00022035201735444670
очень 1.53289783531176615483 0.00027434413159942124
высокий 2.39789527279837066942 0.00021457675819224796
место 0.80103614257113020525 0.00050176760608482433
названия 2.07944154167983574766 0.00055823934004827803
жителей 1.50692234890850529361 0.00040454291245865912
поляк 5.17048399503815137024 0.00092536626309407631
полька 5.17048399503815137024 0.00046268313154703816
поляки 4.07187170637004225426 0.00728746614115443822
валюта 2.28011223714198729695 0.00040807377845941608
злотый 5.17048399503815137024 0.00185073252618815263
интернет-домен 2.97325941770193269420 0.00026606348256840562
код 0.07061756721395341663 0.00033492000557848152
мок 2.46243379393594175042 0.00022035201735444670
телефонный 2.39789527279837066942 0.00021457675819224796
часовой 2.68557734525015145977 0.00024032012038032678
пояс 2.60553463757661507572 0.00023315746197553604
летом 2.07944154167983574766 0.00055823934004827803
автомобильное 2.46243379393594175042 0.00022035201735444670
движение 1.25846098961000563143 0.00078829771161253147
справа 2.39789527279837066942 0.00042915351638449592
медиафайлы 0.72783273854783536727 0.00013026089280498174
викискладе 0.76376474777389868898 0.00013669167745394161
льша 5.17048399503815137024 0.00092536626309407631
слушать 3.78418963391826101983 0.00033862994486964304
официальное 2.60553463757661507572 0.00023315746197553604
название 1.36382150526783196831 0.00122042192865130382
респу 3.09104245335831606667 0.00027660335153094551
блика 3.09104245335831606667 0.00027660335153094551
итогам 2.12596155731472880035 0.00019024264494986389
составляет 2.07944154167983574766 0.00186079780016092686
человека 1.50692234890850529361 0.00026969527497243943
занимает 2.28011223714198729695 0.00122422133537824812
численности 2.07944154167983574766 0.00037215956003218539
территории 1.14513230430300261276 0.00225439916730792471
государственный 1.64412347042199047387 0.00073562571383534257
унитарное 3.37872452581009685701 0.00030234671371902436
подразделяется 3.37872452581009685701 0.00030234671371902436
воеводств 5.17048399503815137024 0.00185073252618815263
европы 1.95160817016995102868 0.00157176496926439012
омывается 2.86789890204410635732 0.00051327049701013088
севере 1.43281437675478362515 0.00051286420644466532
балтийским 4.47733681447820686117 0.00120196961462502188
морем 2.86789890204410635732 0.00051327049701013088
имеет 1.61513593354873807861 0.00028906235947180999
сухопутную 3.37872452581009685701 0.00030234671371902436
калининградской 4.07187170637004225426 0.00036437330705772194
областью 3.56104608260405131048 0.00031866184184376303
